Unique followers: 64728,,
totalIdentified: 33176,,
totalUnidentified: 31523,,
"var locations = [{""country"": ""eulva"", ""name"": ""Latvia"", ""value"": 1}, {""country"": ""asomn"", ""name"": ""Oman"", ""value"": 1}, {""country"": ""asaze"", ""name"": ""Azerbaijan"", ""value"": 1}, {""country"": ""euukr"", ""name"": ""Ukraine"", ""value"": 1}, {""country"": ""euhrv"", ""name"": ""Croatia (Local Name: Hrvatska)"", ""value"": 1}, {""country"": ""ocgum"", ""name"": ""Guam"", ""value"": 1}, {""country"": ""ocasm"", ""name"": ""American Samoa"", ""value"": 2}, {""country"": ""ocpng"", ""name"": ""Papua New Guinea"", ""value"": 2}, {""country"": ""asgeo"", ""name"": ""Georgia"", ""value"": 2}, {""country"": ""afzwe"", ""name"": ""Zimbabwe"", ""value"": 2}, {""country"": ""asarm"", ""name"": ""Armenia"", ""value"": 2}, {""country"": ""euhun"", ""name"": ""Hungary"", ""value"": 2}, {""country"": ""eublr"", ""name"": ""Belarus"", ""value"": 3}, {""country"": ""eucze"", ""name"": ""Czech Republic"", ""value"": 4}, {""country"": ""assau"", ""name"": ""Saudi Arabia"", ""value"": 4}, {""country"": ""aflbr"", ""name"": ""Liberia"", ""value"": 4}, {""country"": ""asafg"", ""name"": ""Afghanistan"", ""value"": 4}, {""country"": ""aschn"", ""name"": ""China"", ""value"": 4}, {""country"": ""askaz"", ""name"": ""Kazakhstan"", ""value"": 5}, {""country"": ""asirn"", ""name"": ""Iran (Islamic Republic Of)"", ""value"": 5}, {""country"": ""eubgr"", ""name"": ""Bulgaria"", ""value"": 5}, {""country"": ""ocfji"", ""name"": ""Fiji"", ""value"": 5}, {""country"": ""askwt"", ""name"": ""Kuwait"", ""value"": 5}, {""country"": ""eusvk"", ""name"": ""Slovakia (Slovak Republic)"", ""value"": 5}, {""country"": ""asisr"", ""name"": ""Israel"", ""value"": 5}, {""country"": ""eufin"", ""name"": ""Finland"", ""value"": 6}, {""country"": ""aspak"", ""name"": ""Pakistan"", ""value"": 6}, {""country"": ""asbgd"", ""name"": ""Bangladesh"", ""value"": 8}, {""country"": ""asnpl"", ""name"": ""Nepal"", ""value"": 8}, {""country"": ""eudnk"", ""name"": ""Denmark"", ""value"": 8}, {""country"": ""euaut"", ""name"": ""Austria"", ""value"": 8}, {""country"": ""sabol"", ""name"": ""Bolivia"", ""value"": 10}, {""country"": ""asind"", ""name"": ""India"", ""value"": 11}, {""country"": ""afken"", ""name"": ""Kenya"", ""value"": 12}, {""country"": ""ocnzl"", ""name"": ""New Zealand"", ""value"": 12}, {""country"": ""eusvn"", ""name"": ""Slovenia"", ""value"": 12}, {""country"": ""euprt"", ""name"": ""Portugal"", ""value"": 13}, {""country"": ""saper"", ""name"": ""Peru"", ""value"": 13}, {""country"": ""eupol"", ""name"": ""Poland"", ""value"": 14}, {""country"": ""afegy"", ""name"": ""Egypt"", ""value"": 17}, {""country"": ""euswe"", ""name"": ""Sweden"", ""value"": 18}, {""country"": ""eubel"", ""name"": ""Belgium"", ""value"": 19}, {""country"": ""euirl"", ""name"": ""Ireland"", ""value"": 24}, {""country"": ""asmys"", ""name"": ""Malaysia"", ""value"": 26}, {""country"": ""ashkg"", ""name"": ""Hong Kong"", ""value"": 33}, {""country"": ""afmar"", ""name"": ""Morocco"", ""value"": 37}, {""country"": ""assgp"", ""name"": ""Singapore"", ""value"": 37}, {""country"": ""astur"", ""name"": ""Turkey"", ""value"": 38}, {""country"": ""saven"", ""name"": ""Venezuela"", ""value"": 40}, {""country"": ""sacol"", ""name"": ""Colombia"", ""value"": 45}, {""country"": ""euesp"", ""name"": ""Spain"", ""value"": 47}, {""country"": ""asirq"", ""name"": ""Iraq"", ""value"": 50}, {""country"": ""saarg"", ""name"": ""Argentina"", ""value"": 54}, {""country"": ""eufra"", ""name"": ""France"", ""value"": 55}, {""country"": ""eudeu"", ""name"": ""Germany"", ""value"": 69}, {""country"": ""sachl"", ""name"": ""Chile"", ""value"": 77}, {""country"": ""namex"", ""name"": ""Mexico"", ""value"": 77}, {""country"": ""euita"", ""name"": ""Italy"", ""value"": 78}, {""country"": ""nagrl"", ""name"": ""Greenland"", ""value"": 79}, {""country"": ""asidn"", ""name"": ""Indonesia"", ""value"": 79}, {""country"": ""ocaus"", ""name"": ""Australia"", ""value"": 88}, {""country"": ""astha"", ""name"": ""Thailand"", ""value"": 90}, {""country"": ""nacan"", ""name"": ""Canada"", ""value"": 105}, {""country"": ""eugrc"", ""name"": ""Greece"", ""value"": 112}, {""country"": ""eunld"", ""name"": ""Netherlands"", ""value"": 116}, {""country"": ""eugbr"", ""name"": ""United Kingdom"", ""value"": 232}, {""country"": ""asrus"", ""name"": ""Russian Federation"", ""value"": 4215}, {""country"": ""nausa"", ""name"": ""United States"", ""value"": 5486}, {""country"": ""asjpn"", ""name"": ""Japan"", ""value"": 21516}]",,
,,
country,name,value
eulva,Latvia,1
asomn,Oman,1
asaze,Azerbaijan,1
euukr,Ukraine,1
euhrv,Croatia (Local Name: Hrvatska),1
ocgum,Guam,1
ocasm,American Samoa,2
ocpng,Papua New Guinea,2
asgeo,Georgia,2
afzwe,Zimbabwe,2
asarm,Armenia,2
euhun,Hungary,2
eublr,Belarus,3
eucze,Czech Republic,4
assau,Saudi Arabia,4
aflbr,Liberia,4
asafg,Afghanistan,4
aschn,China,4
askaz,Kazakhstan,5
asirn,Iran (Islamic Republic Of),5
eubgr,Bulgaria,5
ocfji,Fiji,5
askwt,Kuwait,5
eusvk,Slovakia (Slovak Republic),5
asisr,Israel,5
eufin,Finland,6
aspak,Pakistan,6
asbgd,Bangladesh,8
asnpl,Nepal,8
eudnk,Denmark,8
euaut,Austria,8
sabol,Bolivia,10
asind,India,11
afken,Kenya,12
ocnzl,New Zealand,12
eusvn,Slovenia,12
euprt,Portugal,13
saper,Peru,13
eupol,Poland,14
afegy,Egypt,17
euswe,Sweden,18
eubel,Belgium,19
euirl,Ireland,24
asmys,Malaysia,26
ashkg,Hong Kong,33
afmar,Morocco,37
assgp,Singapore,37
astur,Turkey,38
saven,Venezuela,40
sacol,Colombia,45
euesp,Spain,47
asirq,Iraq,50
saarg,Argentina,54
eufra,France,55
eudeu,Germany,69
sachl,Chile,77
namex,Mexico,77
euita,Italy,78
nagrl,Greenland,79
asidn,Indonesia,79
ocaus,Australia,88
astha,Thailand,90
nacan,Canada,105
eugrc,Greece,112
eunld,Netherlands,116
eugbr,United Kingdom,232
asrus,Russian Federation,4215
nausa,United States,5486
asjpn,Japan,21516
